ipam-app-1  | Starting network scan 2 for subnets: [ 1 ]
ipam-app-1  | 9:56:06 PM [express] POST /api/network/scan 200 in 4ms :: {"scanId":2,"status":"started"}
ipam-app-1  | Scanning subnet 10.63.21.0/24 (254 IPs)
ipam-app-1  | 9:56:06 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:56:08 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:10 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:12 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:14 PM [express] GET /api/network/scan 200 in 2ms
ipam-app-1  | 9:56:16 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:56:18 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:20 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:56:22 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:24 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:26 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:56:29 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:56:31 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:32 PM [express] GET /api/dashboard/metrics 200 in 17ms :: {"totalIPs":254,"allocatedIPs":"0","a…
ipam-app-1  | 9:56:33 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:56:35 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:35 PM [express] GET /api/dashboard/last-scan 200 in 3ms
ipam-app-1  | 9:56:37 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:39 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:41 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:43 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:45 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:47 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:56:49 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:51 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:53 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:55 PM [express] GET /api/network/scan 200 in 5ms
ipam-app-1  | 9:56:57 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:56:59 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:01 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:02 PM [express] GET /api/dashboard/metrics 200 in 21ms :: {"totalIPs":254,"allocatedIPs":"0","a…
ipam-app-1  | 9:57:03 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:05 PM [express] GET /api/dashboard/last-scan 200 in 3ms
ipam-app-1  | 9:57:05 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:57:07 PM [express] GET /api/network/scan 200 in 8ms
ipam-app-1  | 9:57:09 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:57:12 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:57:14 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:57:16 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:18 PM [express] GET /api/network/scan 200 in 5ms
ipam-app-1  | 9:57:20 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:57:22 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:24 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:26 PM [express] GET /api/network/scan 200 in 5ms
ipam-app-1  | 9:57:28 PM [express] GET /api/network/scan 200 in 8ms
ipam-app-1  | 9:57:30 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:32 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:32 PM [express] GET /api/dashboard/metrics 200 in 18ms :: {"totalIPs":254,"allocatedIPs":"0","a…
ipam-app-1  | 9:57:34 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:35 PM [express] GET /api/dashboard/last-scan 200 in 3ms
ipam-app-1  | 9:57:36 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:38 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | 9:57:40 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:42 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:44 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:46 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:48 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:50 PM [express] GET /api/network/scan 200 in 2ms
ipam-app-1  | 9:57:53 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:55 PM [express] GET /api/network/scan 200 in 5ms
ipam-app-1  | 9:57:57 PM [express] GET /api/network/scan 200 in 3ms
ipam-app-1  | 9:57:59 PM [express] GET /api/network/scan 200 in 4ms
ipam-app-1  | Network scan 2 completed. Found 31 devices.
ipam-app-1  | 9:58:02 PM [express] GET /api/dashboard/metrics 200 in 8ms :: {"totalIPs":254,"allocatedIPs":"31","a…
ipam-app-1  | 9:58:05 PM [express] GET /api/dashboard/last-scan 200 in 3ms
